Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,0.7
2016,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,0.7
