Year,SERIES,REF_AREA,SEX,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2016,SL_DOM_TSPD,,,,,PT,1.1
2016,SL_DOM_TSPD,,F,,,PT,1.1
2016,SL_DOM_TSPD,,M,,,PT,1.3
