Year,SERIES,REF_AREA,URBANISATION,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SP_ACS_BSRV,,,,,PT,97.8
2016,SP_ACS_BSRV,,,,,PT,99.1
2017,SP_ACS_BSRV,,,,,PT,99.3
2015,SP_ACS_BSRVSAN,,,,,PT,99.0
2016,SP_ACS_BSRVSAN,,,,,PT,94.2
2017,SP_ACS_BSRVSAN,,,,,PT,97.0
2015,SP_ACS_BSRVSAN,,R,,,PT,98.8
2016,SP_ACS_BSRVSAN,,R,,,PT,94.6
2017,SP_ACS_BSRVSAN,,R,,,PT,97.3
2015,SP_ACS_BSRVSAN,,U,,,PT,99.3
2016,SP_ACS_BSRVSAN,,U,,,PT,92.9
2017,SP_ACS_BSRVSAN,,U,,,PT,96.0
