Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SL_EMP_GTOTL,tj,PT,174
2016,SL_EMP_GTOTL,tj,PT,177
2017,SL_EMP_GTOTL,tj,PT,165
2018,SL_EMP_GTOTL,tj,PT,165
2019,SL_EMP_GTOTL,tj,PT,167
