Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SL_EMP_PCAP,,PT,103.5
2016,SL_EMP_PCAP,,PT,16.8
2017,SL_EMP_PCAP,,PT,106.0
2018,SL_EMP_PCAP,,PT,106.7
