Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SH_STA_BRTC,,,,PT,98
2016,SH_STA_BRTC,,,,PT,98
2017,SH_STA_BRTC,,,,PT,98
2018,SH_STA_BRTC,,,,PT,99
2019,SH_STA_BRTC,,,,PT,99
