Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_STA_TRAF,,PER_100000_POP,5.3
2016,SH_STA_TRAF,,PER_100000_POP,4.9
2017,SH_STA_TRAF,,PER_100000_POP,4.9
2018,SH_STA_TRAF,,PER_100000_POP,4.4
2019,SH_STA_TRAF,,PER_100000_POP,4.2
2015,SH_STA_TRAFN,,NUMBER,449.0
2016,SH_STA_TRAFN,,NUMBER,427.0
2017,SH_STA_TRAFN,,NUMBER,433.0
2018,SH_STA_TRAFN,,NUMBER,395.0
2019,SH_STA_TRAFN,,NUMBER,391.0
