Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SE_TRA_GRDL,,,,PT,68.7
2016,SE_TRA_GRDL,,,,PT,69.7
2017,SE_TRA_GRDL,,,,PT,71.0
2018,SE_TRA_GRDL,,,,PT,72.3
2019,SE_TRA_GRDL,,,,PT,74.0
2020,SE_TRA_GRDL,,,,PT,75.4
