Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_FPL_MTMM,tj,F,Y15T49,PT,51.0
2017,SH_FPL_MTMM,tj,F,Y15T49,PT,52.2
