Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,EG_EGY_PRIM,,,,PT,0.03
2016,EG_EGY_PRIM,,,,PT,0.04
2017,EG_EGY_PRIM,,,,PT,0.04
2018,EG_EGY_PRIM,,,,PT,0.05
2019,EG_EGY_PRIM,,,,PT,0.05
