Year,Value,UNIT_MEASURE,SERIES
2015,15.6,PT,SD_XPD_ESED
2016,16.9,PT,SD_XPD_ESED
2017,16.0,PT,SD_XPD_ESED
2018,15.3,PT,SD_XPD_ESED
2019,18.2,PT,SD_XPD_ESED
2020,17.4,PT,SD_XPD_ESED
2015,6.2,PT,SG_XPD_HLTH
2016,6.3,PT,SG_XPD_HLTH
2017,6.2,PT,SG_XPD_HLTH
2018,6.4,PT,SG_XPD_HLTH
2019,7.5,PT,SG_XPD_HLTH
2020,10.4,PT,SG_XPD_HLTH
2016,3.1,PT,SG_XPD_PROT
2017,7.1,PT,SG_XPD_PROT
2018,3.8,PT,SG_XPD_PROT
2019,4.6,PT,SG_XPD_PROT
