Year,Value,UNIT_MEASURE,SERIES
2015,1,PT,SG_GEN_EQPWN
2016,1,PT,SG_GEN_EQPWN
2017,1,PT,SG_GEN_EQPWN
2018,1,PT,SG_GEN_EQPWN
2019,1,PT,SG_GEN_EQPWN
2020,1,PT,SG_GEN_EQPWN
