Year,Value,UNIT_MEASURE,SERIES
2015,1,NUMBER,ER_REG_SSFRAR
2016,1,NUMBER,ER_REG_SSFRAR
2017,1,NUMBER,ER_REG_SSFRAR
2018,1,NUMBER,ER_REG_SSFRAR
2019,1,NUMBER,ER_REG_SSFRAR
2020,1,NUMBER,ER_REG_SSFRAR
