Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SL_TLF_MANF,,PT,2.5
2016,SL_TLF_MANF,,PT,2.5
2017,SL_TLF_MANF,,PT,3.6
2018,SL_TLF_MANF,,PT,3.5
2019,SL_TLF_MANF,,PT,2.4
