Year,SERIES,REF_AREA,SEX,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2016,VC_IHR_PSRC,,,,,PER_100000_POP,0.9
2017,VC_IHR_PSRC,,,,,PER_100000_POP,0.7
2016,VC_IHR_PSRC,,F,,,PER_100000_POP,0.4
2017,VC_IHR_PSRC,,F,,,PER_100000_POP,0.4
2016,VC_IHR_PSRC,,M,,,PER_100000_POP,1.4
2017,VC_IHR_PSRC,,M,,,PER_100000_POP,1.0
