Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,ER_REG_SSFRAR,,,,NUMBER,1
2016,ER_REG_SSFRAR,,,,NUMBER,1
2017,ER_REG_SSFRAR,,,,NUMBER,1
2018,ER_REG_SSFRAR,,,,NUMBER,1
2019,ER_REG_SSFRAR,,,,NUMBER,1
2020,ER_REG_SSFRAR,,,,NUMBER,1
