Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Renewable energy share in the total final energy consumption [7.2.1],,Percent,53.8
2016,Renewable energy share in the total final energy consumption [7.2.1],,Percent,46.7
2017,Renewable energy share in the total final energy consumption [7.2.1],,Percent,45.4
2018,Renewable energy share in the total final energy consumption [7.2.1],,Percent,44.3
2019,Renewable energy share in the total final energy consumption [7.2.1],,Percent,43.4
