Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SD_XPD_ESED,,,,PT,15.6
2016,SD_XPD_ESED,,,,PT,16.9
2017,SD_XPD_ESED,,,,PT,16.0
2018,SD_XPD_ESED,,,,PT,15.3
2019,SD_XPD_ESED,,,,PT,18.2
2020,SD_XPD_ESED,,,,PT,17.4
2015,SG_XPD_HLTH,,,,PT,6.2
2016,SG_XPD_HLTH,,,,PT,6.3
2017,SG_XPD_HLTH,,,,PT,6.2
2018,SG_XPD_HLTH,,,,PT,6.4
2019,SG_XPD_HLTH,,,,PT,7.5
2020,SG_XPD_HLTH,,,,PT,10.4
2016,SG_XPD_PROT,,,,PT,3.1
2017,SG_XPD_PROT,,,,PT,7.1
2018,SG_XPD_PROT,,,,PT,3.8
2019,SG_XPD_PROT,,,,PT,4.6
