Year,Value,UNIT_MEASURE,SERIES
2015,0.15,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2016,0.12,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2017,0.09,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2018,0.09,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
2019,0.09,Percent,Research and development expenditure as a proportion of GDP [9.5.1]
