Year,Value,UNIT_MEASURE,SERIES
2015,653.2,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
2016,650.6,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
2017,657.3,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
2018,659.0,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
2019,663.9,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
2020,667.3,Percent,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
