Year,Value,UNIT_MEASURE,SERIES
2015,4.81,Percent,Proportion of population below international poverty line [1.1.1]
2016,4.34,Percent,Proportion of population below international poverty line [1.1.1]
2017,3.58,Percent,Proportion of population below international poverty line [1.1.1]
2018,2.95,Percent,Proportion of population below international poverty line [1.1.1]
2019,2.61,Percent,Proportion of population below international poverty line [1.1.1]
2020,2.61,Percent,Proportion of population below international poverty line [1.1.1]
