Year,Value,UNIT_MEASURE,SERIES
2015,8.3,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2016,6.7,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2017,7.1,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2018,7.7,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2019,3.8,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2020,5.6,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
