Year,Value,UNIT_MEASURE,SERIES
2015,70.8,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
2017,80.5,Percent,Proportion of population with primary reliance on clean fuels and technology [7.1.2]
