Year,Value,UNIT_MEASURE,SERIES
2015,6.1,Local currency,Average hourly earnings [8.5.1]
2016,7.0,Local currency,Average hourly earnings [8.5.1]
2017,7.4,Local currency,Average hourly earnings [8.5.1]
2018,8.8,Local currency,Average hourly earnings [8.5.1]
2019,8.5,Local currency,Average hourly earnings [8.5.1]
