Year,Value,UNIT_MEASURE,SERIES
2015,64.0,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2016,60.8,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2017,65.6,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2018,60.9,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2019,67.2,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
2020,60.2,Percent,Proportion of domestic budget funded by domestic taxes [17.1.2]
