Year,Value,UNIT_MEASURE,SERIES
2015,106.4,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2016,111.2,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2017,164.3,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2018,143.1,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2019,167.5,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2020,170.7,Constant USD,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
