Year,Value,UNIT_MEASURE,SERIES
2015,433,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
2016,446,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
2017,414,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
2018,427,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
2019,483,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
2020,452,Per million population,Researchers (in full-time equivalent) per million inhabitants [9.5.2]
