Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,GC_GOB_TAXD,,,,PT,64.0
2016,GC_GOB_TAXD,,,,PT,60.8
2017,GC_GOB_TAXD,,,,PT,65.6
2018,GC_GOB_TAXD,,,,PT,60.9
2019,GC_GOB_TAXD,,,,PT,67.2
2020,GC_GOB_TAXD,,,,PT,60.2
