Year,SERIES,REF_AREA,SEX,URBANISATION,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2016,SL_TLF_UEM,,,,,,PT,6.9
2016,SL_TLF_UEM,,,R,,,PT,5.5
2016,SL_TLF_UEM,,,U,,,PT,11.0
2016,SL_TLF_UEM,,F,,,,PT,5.5
2016,SL_TLF_UEM,,M,,,,PT,7.9
