Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-5-1
#10-4-1
#11-5-1
#13-1-1
#15-1-1
#17-4-1
#17-6-1
#2-2-1
#2-2-2
#2-2-3
#2-a-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-4-1
#3-4-2
#3-5-1
#3-6-1
#3-7-1
#3-7-2
#3-a-1
#3-b-1
#3-c-1
#4-3-1
#5-2-1
#5-3-1
#5-5-1
#5-5-2
#5-6-1
#7-1-1
#8-1-1
#8-10-1
#8-10-2
#8-5-2
#8-6-1
#8-7-1
#8-8-1
#9-2-1
#9-2-2
#9-5-1
