Indicator,Disaggregation combinations using this value
#16-1-1,1
#16-2-1,1
#16-9-1,1
#2-2-1,1
#2-2-2,2
#3-2-1,2
#3-2-2,1
#3-3-2,1
#3-b-1,1
#4-3-1,1
#5-4-1,1
#8-3-1,1
#8-5-1,1
#8-5-2,1
#8-6-1,1
#8-7-1,1
