Indicator
#16-1-1
#16-2-1
#16-9-1
#2-2-1
#2-2-2
#2-2-3
#3-1-1
#3-2-1
#3-2-2
#3-3-2
#3-7-1
#3-7-2
#3-b-1
#4-3-1
#5-2-1
#5-3-1
#5-4-1
#5-5-1
#5-5-2
#5-6-1
#8-3-1
#8-5-1
#8-5-2
#8-6-1
#8-7-1
