Indicator
#1-2-2
#16-9-1
#2-2-1
#2-2-2
#2-2-3
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-a-1
#5-3-1
#5-6-1
#8-10-1
#8-10-2
#8-6-1
#8-7-1
