Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2017,SP_DYN_MRBF15,,F,Y20T24,,,PT,0.1
2017,SP_DYN_MRBF18,,F,Y20T24,,,PT,8.7
