Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,VC_VAW_PHYV,,F,PT,19.5
2017,VC_VAW_PHYV,,F,PT,18.7
2015,VC_VAW_SEXV,,F,PT,4.4
2017,VC_VAW_SEXV,,F,PT,1.4
2015,VC_VAW_PSYV,,F,PT,11.3
2017,VC_VAW_PSYV,,F,PT,13.3
