Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SL_EMP_GTOTL,,,,PT,17.4
2016,SL_EMP_GTOTL,,,,PT,17.7
2017,SL_EMP_GTOTL,,,,PT,16.5
2018,SL_EMP_GTOTL,,,,PT,16.5
2019,SL_EMP_GTOTL,,,,PT,16.7
