Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SG_STT_FPOS,,,,BOOL,1
2016,SG_STT_FPOS,,,,BOOL,1
2017,SG_STT_FPOS,,,,BOOL,1
2018,SG_STT_FPOS,,,,BOOL,1
2019,SG_STT_FPOS,,,,BOOL,1
2020,SG_STT_FPOS,,,,BOOL,1
