Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Agriculture orientation index for government expenditures [2.a.1],,,,Index,0.1
2016,Agriculture orientation index for government expenditures [2.a.1],,,,Index,0.1
