Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,GR_G14_GDP,,,,PT,25.0
2016,GR_G14_GDP,,,,PT,23.2
2017,GR_G14_GDP,,,,PT,23.7
2018,GR_G14_GDP,,,,PT,23.2
2019,GR_G14_GDP,,,,PT,22.5
2020,GR_G14_GDP,,,,PT,20.9
