Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SH_ACS_VACN,,,PT,88.7
2017,SH_ACS_VACN,,,PT,87.0
2015,SH_ACS_VACN,,M,PT,89.3
2017,SH_ACS_VACN,,M,PT,86.5
2015,SH_ACS_VACN,,F,PT,88.1
2017,SH_ACS_VACN,,F,PT,87.4
