Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,653.2
2016,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,650.6
2017,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,657.3
2018,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,659.0
2019,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,663.9
2020,Proportion of agricultural area under productive and sustainable agriculture [2.4.1],,,,Percent,667.3
