Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SG_GEN_EQPWN,,,,PT,1
2016,SG_GEN_EQPWN,,,,PT,1
2017,SG_GEN_EQPWN,,,,PT,1
2018,SG_GEN_EQPWN,,,,PT,1
2019,SG_GEN_EQPWN,,,,PT,1
2020,SG_GEN_EQPWN,,,,PT,1
