Year,SERIES,REF_AREA,URBANISATION,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,EG_ACS_ELEC,,,,,PT,99.1
2017,EG_ACS_ELEC,,,,,PT,99.3
2015,EG_ACS_ELEC,,R,,,PT,98.8
2017,EG_ACS_ELEC,,R,,,PT,99.3
2015,EG_ACS_ELEC,,U,,,PT,99.8
2017,EG_ACS_ELEC,,U,,,PT,99.2
