Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SH_HAP_HBSAG,,,,PT,0.081
2016,SH_HAP_HBSAG,,,,PT,0.127
2017,SH_HAP_HBSAG,,,,PT,0.061
2018,SH_HAP_HBSAG,,,,PT,0.081
2019,SH_HAP_HBSAG,,,,PT,0.084
2020,SH_HAP_HBSAG,,,,PT,0.044
