Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,IC_GEN_MGTL,,F,PT,18.3
2016,IC_GEN_MGTL,,F,PT,17.9
2017,IC_GEN_MGTL,,F,PT,18.9
2018,IC_GEN_MGTL,,F,PT,18.1
2019,IC_GEN_MGTL,,F,PT,18.5
2020,IC_GEN_MGTL,,F,PT,19.1
