Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2017,SH_STA_ANEM,,F,Y15T49,,,PT,41.1
2017,SH_STA_ANEM_NPRG,,F,Y15T49,,,PT,39.9
2017,SH_STA_ANEM_PREG,,F,Y15T49,,,PT,42.1
