Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SH_STA_WAST,,,Y0T4,,,PT,9.9
2017,SH_STA_WAST,,,Y0T4,,,PT,5.6
2015,SH_STA_WAST,,F,Y0T4,,,PT,10.0
2017,SH_STA_WAST,,F,Y0T4,,,PT,5.0
2015,SH_STA_WAST,,M,Y0T4,,,PT,9.9
2017,SH_STA_WAST,,M,Y0T4,,,PT,6.1
2015,SN_STA_OVWGT,,,Y0T4,,,PT,0.9
2017,SN_STA_OVWGT,,,Y0T4,,,PT,3.3
2015,SN_STA_OVWGT,,F,Y0T4,,,PT,0.9
2017,SN_STA_OVWGT,,F,Y0T4,,,PT,3.2
2015,SN_STA_OVWGT,,M,Y0T4,,,PT,1.0
2017,SN_STA_OVWGT,,M,Y0T4,,,PT,3.5
