Year,SERIES,REF_AREA,AGE,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SH_PRV_SMOK,,Y_GE15,,,IX,0.3
2017,SH_PRV_SMOK,,Y_GE15,,,IX,0.5
