Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SI_COV_BENFTS,,,,PT,11.8
2016,SI_COV_BENFTS,,,,PT,11.0
2017,SI_COV_BENFTS,,,,PT,11.8
2018,SI_COV_BENFTS,,,,PT,11.3
2019,SI_COV_BENFTS,,,,PT,10.2
2020,SI_COV_BENFTS,,,,PT,8.3
