Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,NV_IND_MANF,,PT,8.7
2016,NV_IND_MANF,,PT,9.7
2017,NV_IND_MANF,,PT,10.0
2018,NV_IND_MANF,,PT,13.2
