Year,Value,UNIT_MEASURE,SERIES
2016,14.1,PER_100000_POP,FB_ATM_TOTL
2017,11.8,PER_100000_POP,FB_ATM_TOTL
2018,11.4,PER_100000_POP,FB_ATM_TOTL
2019,14.5,PER_100000_POP,FB_ATM_TOTL
2015,6.4,PER_100000_POP,FB_CBK_BRCH
2016,6.2,PER_100000_POP,FB_CBK_BRCH
2017,4.6,PER_100000_POP,FB_CBK_BRCH
2018,4.2,PER_100000_POP,FB_CBK_BRCH
2019,4.0,PER_100000_POP,FB_CBK_BRCH
