Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,EG_FEC_RNEW,,,,PT,53.8
2016,EG_FEC_RNEW,,,,PT,46.7
2017,EG_FEC_RNEW,,,,PT,45.4
2018,EG_FEC_RNEW,,,,PT,44.3
2019,EG_FEC_RNEW,,,,PT,43.4
