Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_STA_BRTC,tj,PT,980
2016,SH_STA_BRTC,tj,PT,980
2017,SH_STA_BRTC,tj,PT,980
2018,SH_STA_BRTC,tj,PT,990
2019,SH_STA_BRTC,tj,PT,990
