Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_STA_WAST,tj,,Y0T4,PT,9.9
2017,SH_STA_WAST,tj,,Y0T4,PT,5.6
2015,SH_STA_WAST,tj,M,Y0T4,PT,9.9
2017,SH_STA_WAST,tj,M,Y0T4,PT,6.1
2015,SH_STA_WAST,tj,F,Y0T4,PT,10.0
2017,SH_STA_WAST,tj,F,Y0T4,PT,50.0
2015,SN_STA_OVWGT,tj,,Y0T4,PT,0.9
2017,SN_STA_OVWGT,tj,,Y0T4,PT,3.3
2015,SN_STA_OVWGT,tj,M,Y0T4,PT,1.0
2017,SN_STA_OVWGT,tj,M,Y0T4,PT,3.5
2015,SN_STA_OVWGT,tj,F,Y0T4,PT,0.9
2017,SN_STA_OVWGT,tj,F,Y0T4,PT,3.2
