Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Energy intensity level of primary energy [7.3.1],,Percent,0.03
2016,Energy intensity level of primary energy [7.3.1],,Percent,0.04
2017,Energy intensity level of primary energy [7.3.1],,Percent,0.04
2018,Energy intensity level of primary energy [7.3.1],,Percent,0.05
2019,Energy intensity level of primary energy [7.3.1],,Percent,0.05
