Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2016,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,8.3
2017,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,6.7
2018,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,7.1
2019,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,7.7
2020,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,3.8
2021,Proportion of small-scale industries in total industry value added [9.3.1],,,,Percent,5.6
