Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,433
2016,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,446
2017,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,414
2018,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,427
2019,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,483
2020,Researchers (in full-time equivalent) per million inhabitants [9.5.2],,,,Per million population,452
