Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_SUD_TREAT,tj,PER_100000_POP,72
2016,SH_SUD_TREAT,tj,PER_100000_POP,70
2017,SH_SUD_TREAT,tj,PER_100000_POP,73
2018,SH_SUD_TREAT,tj,PER_100000_POP,70
2019,SH_SUD_TREAT,tj,PER_100000_POP,67
