Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,0.15
2016,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,0.12
2017,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,0.09
2018,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,0.09
2019,Research and development expenditure as a proportion of GDP [9.5.1],,Percent,0.09
