Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Manufacturing employment as a proportion of total employment [9.2.2],,,Manufacturing,Percent,2.5
2016,Manufacturing employment as a proportion of total employment [9.2.2],,,Manufacturing,Percent,2.5
2017,Manufacturing employment as a proportion of total employment [9.2.2],,,Manufacturing,Percent,3.6
2018,Manufacturing employment as a proportion of total employment [9.2.2],,,Manufacturing,Percent,3.5
2019,Manufacturing employment as a proportion of total employment [9.2.2],,,Manufacturing,Percent,2.4
