Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,FB_BNK_ACCSS,tj,NUMBER,2904500
2016,FB_BNK_ACCSS,tj,NUMBER,3163334
2017,FB_BNK_ACCSS,tj,NUMBER,3229363
2018,FB_BNK_ACCSS,tj,NUMBER,3517260
2019,FB_BNK_ACCSS,tj,NUMBER,4057782
