Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,64.0
2016,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,60.8
2017,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,65.6
2018,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,60.9
2019,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,67.2
2020,Proportion of domestic budget funded by domestic taxes [17.1.2],,,,Percent,60.2
