Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SI_COV_BENFTS,tj,PT,118.0
2016,SI_COV_BENFTS,tj,PT,110.0
2017,SI_COV_BENFTS,tj,PT,11.8
2018,SI_COV_BENFTS,tj,PT,11.3
2019,SI_COV_BENFTS,tj,PT,10.2
