Year,SERIES,Reference area,Occupation,Economic activity,UNIT_MEASURE,Value
2015,Manufacturing value added as a proportion of GDP [9.2.1],,,Manufacturing,Percent,8.7
2016,Manufacturing value added as a proportion of GDP [9.2.1],,,Manufacturing,Percent,9.7
2017,Manufacturing value added as a proportion of GDP [9.2.1],,,Manufacturing,Percent,10.0
2018,Manufacturing value added as a proportion of GDP [9.2.1],,,Manufacturing,Percent,13.2
